period,stateId,stateDescription,producertypeid,producerTypeDescription,energysourceid,energySourceDescription,capability,capability-units
2024,CA,California,IPP,Independent Power Producers,SOL,Solar,22049.3,megawatts
2024,CA,California,IPP,Independent Power Producers,SOLPV,Solar - PV,21131.5,megawatts
2024,CA,California,IPP,Independent Power Producers,SOLTH,Solar - TH,917.8,megawatts
2024,CA,California,IPP,Independent Power Producers,WND,Wind,6021.3,megawatts
2024,CA,California,IPP,Independent Power Producers,WOO,Wood,541.9,megawatts
2024,CA,California,TOT,All sectors,ALL,All,96773.2,megawatts
2024,CA,California,TOT,All sectors,BAT,Battery,11717.3,megawatts
2024,CA,California,TOT,All sectors,COL,Coal,57.0,megawatts
2024,CA,California,TOT,All sectors,GEO,Geothermal,1881.2,megawatts
2024,CA,California,TOT,All sectors,HPS,Pumped Storage,3869.9,megawatts
2024,CA,California,TOT,All sectors,HYC,Hydroelectric,10213.6,megawatts
2024,CA,California,TOT,All sectors,NG,Natural Gas,36329.1,megawatts
2024,CA,California,TOT,All sectors,NGCC,Natural Gas - CC,20412.6,megawatts
2024,CA,California,TOT,All sectors,NGGT,Natural Gas - GT,11506.3,megawatts
2024,CA,California,TOT,All sectors,NGIC,Natural Gas - IC,526.1,megawatts
2024,CA,California,TOT,All sectors,NGOTH,Natural Gas - OTH,140.1,megawatts
2024,CA,California,TOT,All sectors,NGST,Natural Gas - ST,3744.0,megawatts
2024,CA,California,TOT,All sectors,NUC,Nuclear,2240.0,megawatts
2024,CA,California,TOT,All sectors,OBM,Other Biomass,437.5,megawatts
2024,CA,California,TOT,All sectors,OOG,Other Gas,212.5,megawatts
2024,CA,California,TOT,All sectors,OT,Other,91.2,megawatts
2024,CA,California,TOT,All sectors,PET,Petroleum,442.2,megawatts
2024,CA,California,TOT,All sectors,PETGT,Petroleum - GT,186.9,megawatts
2024,CA,California,TOT,All sectors,PETIC,Petroleum - IC,255.3,megawatts
2024,CA,California,TOT,All sectors,SOL,Solar,22283.0,megawatts
2024,CA,California,TOT,All sectors,SOLPV,Solar - PV,21365.2,megawatts
2024,CA,California,TOT,All sectors,SOLTH,Solar - TH,917.8,megawatts
2024,CA,California,TOT,All sectors,WND,Wind,6456.8,megawatts
2024,CA,California,TOT,All sectors,WOO,Wood,541.9,megawatts
2024,CO,Colorado,EU,Electric Utilities,ALL,All,11287.2,megawatts
2024,CO,Colorado,EU,Electric Utilities,BAT,Battery,82.4,megawatts
2024,CO,Colorado,EU,Electric Utilities,COL,Coal,3786.0,megawatts
2024,CO,Colorado,EU,Electric Utilities,HPS,Pumped Storage,578.5,megawatts
2024,CO,Colorado,EU,Electric Utilities,HYC,Hydroelectric,609.7,megawatts
2024,CO,Colorado,EU,Electric Utilities,NG,Natural Gas,4917.8,megawatts
2024,CO,Colorado,EU,Electric Utilities,NGCC,Natural Gas - CC,2642.0,megawatts
2024,CO,Colorado,EU,Electric Utilities,NGGT,Natural Gas - GT,1908.0,megawatts
2024,CO,Colorado,EU,Electric Utilities,NGIC,Natural Gas - IC,3.8,megawatts
2024,CO,Colorado,EU,Electric Utilities,NGST,Natural Gas - ST,364.0,megawatts
2024,CO,Colorado,EU,Electric Utilities,PET,Petroleum,148.1,megawatts
2024,CO,Colorado,EU,Electric Utilities,PETGT,Petroleum - GT,100.0,megawatts
2024,CO,Colorado,EU,Electric Utilities,PETIC,Petroleum - IC,48.1,megawatts
2024,CO,Colorado,EU,Electric Utilities,SOL,Solar,8.5,megawatts
2024,CO,Colorado,EU,Electric Utilities,SOLPV,Solar - PV,8.5,megawatts
2024,CO,Colorado,EU,Electric Utilities,WND,Wind,1156.2,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,ALL,All,8529.4,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,BAT,Battery,263.9,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,HYC,Hydroelectric,83.5,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,NG,Natural Gas,1606.1,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,NGCC,Natural Gas - CC,608.5,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,NGGT,Natural Gas - GT,729.2,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,NGIC,Natural Gas - IC,225.4,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,NGST,Natural Gas - ST,43.0,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,OBM,Other Biomass,16.1,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,OT,Other,6.1,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,PET,Petroleum,2.4,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,PETIC,Petroleum - IC,2.4,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,SOL,Solar,2358.2,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,SOLPV,Solar - PV,2358.2,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,WND,Wind,4180.5,megawatts
2024,CO,Colorado,IPP,Independent Power Producers,WOO,Wood,12.6,megawatts
2024,CO,Colorado,TOT,All sectors,ALL,All,19816.6,megawatts
2024,CO,Colorado,TOT,All sectors,BAT,Battery,346.3,megawatts
2024,CO,Colorado,TOT,All sectors,COL,Coal,3786.0,megawatts
2024,CO,Colorado,TOT,All sectors,HPS,Pumped Storage,578.5,megawatts
2024,CO,Colorado,TOT,All sectors,HYC,Hydroelectric,693.2,megawatts
2024,CO,Colorado,TOT,All sectors,NG,Natural Gas,6523.9,megawatts
2024,CO,Colorado,TOT,All sectors,NGCC,Natural Gas - CC,3250.5,megawatts
2024,CO,Colorado,TOT,All sectors,NGGT,Natural Gas - GT,2637.2,megawatts
2024,CO,Colorado,TOT,All sectors,NGIC,Natural Gas - IC,229.2,megawatts
2024,CO,Colorado,TOT,All sectors,NGST,Natural Gas - ST,407.0,megawatts
2024,CO,Colorado,TOT,All sectors,OBM,Other Biomass,16.1,megawatts
2024,CO,Colorado,TOT,All sectors,OT,Other,6.1,megawatts
2024,CO,Colorado,TOT,All sectors,PET,Petroleum,150.5,megawatts
2024,CO,Colorado,TOT,All sectors,PETGT,Petroleum - GT,100.0,megawatts
2024,CO,Colorado,TOT,All sectors,PETIC,Petroleum - IC,50.5,megawatts
2024,CO,Colorado,TOT,All sectors,SOL,Solar,2366.7,megawatts
2024,CO,Colorado,TOT,All sectors,SOLPV,Solar - PV,2366.7,megawatts
2024,CO,Colorado,TOT,All sectors,WND,Wind,5336.7,megawatts
2024,CO,Colorado,TOT,All sectors,WOO,Wood,12.6,megawatts
2024,CT,Connecticut,EU,Electric Utilities,ALL,All,153.4,megawatts
2024,CT,Connecticut,EU,Electric Utilities,HYC,Hydroelectric,9.0,megawatts
2024,CT,Connecticut,EU,Electric Utilities,NG,Natural Gas,88.7,megawatts
2024,CT,Connecticut,EU,Electric Utilities,NGGT,Natural Gas - GT,74.1,megawatts
2024,CT,Connecticut,EU,Electric Utilities,NGOTH,Natural Gas - OTH,14.6,megawatts
2024,CT,Connecticut,EU,Electric Utilities,PET,Petroleum,53.5,megawatts
2024,CT,Connecticut,EU,Electric Utilities,PETIC,Petroleum - IC,53.5,megawatts
2024,CT,Connecticut,EU,Electric Utilities,SOL,Solar,2.2,megawatts
2024,CT,Connecticut,EU,Electric Utilities,SOLPV,Solar - PV,2.2,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,ALL,All,9840.7,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,BAT,Battery,1.6,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,HPS,Pumped Storage,29.4,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,HYC,Hydroelectric,110.2,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,NG,Natural Gas,4974.6,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,NGCC,Natural Gas - CC,3901.0,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,NGGT,Natural Gas - GT,517.7,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,NGIC,Natural Gas - IC,15.7,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,NGOTH,Natural Gas - OTH,83.1,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,NGST,Natural Gas - ST,457.1,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,NUC,Nuclear,2104.2,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,OBM,Other Biomass,102.1,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,PET,Petroleum,2156.0,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,PETGT,Petroleum - GT,895.7,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,PETIC,Petroleum - IC,17.7,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,PETST,Petroleum - ST,1242.6,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,SOL,Solar,320.1,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,SOLPV,Solar - PV,320.1,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,WND,Wind,5.0,megawatts
2024,CT,Connecticut,IPP,Independent Power Producers,WOO,Wood,37.5,megawatts
2024,CT,Connecticut,TOT,All sectors,ALL,All,9994.1,megawatts
2024,CT,Connecticut,TOT,All sectors,BAT,Battery,1.6,megawatts
