gid_0,gid_1,name_0,name_1,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
SYC,SYC.9_1,Seychelles,Bel Air,bws,Irr,-9999,-9999,-9999,NoData,Africa,Sub-Saharan Africa
SYC,SYC.9_1,Seychelles,Bel Air,bws,Liv,-9999,-9999,-9999,NoData,Africa,Sub-Saharan Africa
TON,TON.1_1,Tonga,'Eua,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.1_1,Tonga,'Eua,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.1_1,Tonga,'Eua,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.1_1,Tonga,'Eua,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.1_1,Tonga,'Eua,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.2_1,Tonga,Ha'apai,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.2_1,Tonga,Ha'apai,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.2_1,Tonga,Ha'apai,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.2_1,Tonga,Ha'apai,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.2_1,Tonga,Ha'apai,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.3_1,Tonga,Niuas,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.3_1,Tonga,Niuas,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.3_1,Tonga,Niuas,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.3_1,Tonga,Niuas,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.3_1,Tonga,Niuas,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.4_1,Tonga,Tongatapu,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.4_1,Tonga,Tongatapu,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.4_1,Tonga,Tongatapu,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.5_1,Tonga,Vava'u,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.5_1,Tonga,Vava'u,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TON,TON.5_1,Tonga,Vava'u,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TTO,TTO.1_1,Trinidad and Tobago,Arima,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TTO,TTO.2_1,Trinidad and Tobago,Chaguanas,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TTO,TTO.3_1,Trinidad and Tobago,Couva-Tabaquite-Talparo,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TTO,TTO.4_1,Trinidad and Tobago,Diego Martin,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TTO,TTO.4_1,Trinidad and Tobago,Diego Martin,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TTO,TTO.5_1,Trinidad and Tobago,Mayaro/Rio Claro,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TTO,TTO.6_1,Trinidad and Tobago,Penal-Debe,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TTO,TTO.7_1,Trinidad and Tobago,Point Fortin,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TTO,TTO.8_1,Trinidad and Tobago,Port of Spain,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TTO,TTO.9_1,Trinidad and Tobago,Princes Town,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
TUV,TUV.1_1,Tuvalu,Funafuti,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.1_1,Tuvalu,Funafuti,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.1_1,Tuvalu,Funafuti,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.1_1,Tuvalu,Funafuti,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.1_1,Tuvalu,Funafuti,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.2_1,Tuvalu,Nanumanga,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.2_1,Tuvalu,Nanumanga,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.2_1,Tuvalu,Nanumanga,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.2_1,Tuvalu,Nanumanga,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.2_1,Tuvalu,Nanumanga,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.3_1,Tuvalu,Nanumea,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.3_1,Tuvalu,Nanumea,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.3_1,Tuvalu,Nanumea,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.3_1,Tuvalu,Nanumea,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.3_1,Tuvalu,Nanumea,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.4_1,Tuvalu,Niulakita,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.4_1,Tuvalu,Niulakita,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.4_1,Tuvalu,Niulakita,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.4_1,Tuvalu,Niulakita,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.4_1,Tuvalu,Niulakita,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.5_1,Tuvalu,Niutao,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.5_1,Tuvalu,Niutao,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.5_1,Tuvalu,Niutao,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.5_1,Tuvalu,Niutao,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.5_1,Tuvalu,Niutao,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.6_1,Tuvalu,Nui,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.6_1,Tuvalu,Nui,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.6_1,Tuvalu,Nui,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.6_1,Tuvalu,Nui,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.6_1,Tuvalu,Nui,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.7_1,Tuvalu,Nukufetau,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.7_1,Tuvalu,Nukufetau,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.7_1,Tuvalu,Nukufetau,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.7_1,Tuvalu,Nukufetau,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.7_1,Tuvalu,Nukufetau,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.8_1,Tuvalu,Nukulaelae,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.8_1,Tuvalu,Nukulaelae,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.8_1,Tuvalu,Nukulaelae,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.8_1,Tuvalu,Nukulaelae,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.8_1,Tuvalu,Nukulaelae,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.9_1,Tuvalu,Vaitupu,bws,Tot,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.9_1,Tuvalu,Vaitupu,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.9_1,Tuvalu,Vaitupu,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.9_1,Tuvalu,Vaitupu,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
TUV,TUV.9_1,Tuvalu,Vaitupu,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VCT,VCT.1_1,Saint Vincent and the Grenadines,Charlotte,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.1_1,Saint Vincent and the Grenadines,Charlotte,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.2_1,Saint Vincent and the Grenadines,Grenadines,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.2_1,Saint Vincent and the Grenadines,Grenadines,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.2_1,Saint Vincent and the Grenadines,Grenadines,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.3_1,Saint Vincent and the Grenadines,Saint Andrew,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.3_1,Saint Vincent and the Grenadines,Saint Andrew,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
