gid_0,gid_1,name_0,name_1,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
AFG,AFG.11_1,Afghanistan,Hilmand,2080,pes,bws,Irr,3.054459815,981,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,pes,bws,Liv,3.508751809,806,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,pes,bws,Tot,3.048035806,1009,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,opt,bws,One,3.942032201,452,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,bau,bws,One,3.936129927,432,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2030,pes,bws,One,4.083291448,389,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,opt,bws,One,3.896863803,461,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,bau,bws,One,4.110415944,459,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2050,pes,bws,One,4.206939239,408,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,opt,bws,One,3.98185115,485,3,High (40-80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,bau,bws,One,4.27547465,468,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.11_1,Afghanistan,Hilmand,2080,pes,bws,One,4.192406157,467,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,opt,bws,Dom,4.922089053,240,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,opt,bws,Ind,4.960780062,235,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,opt,bws,Irr,4.956456852,236,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,opt,bws,Liv,4.910267269,219,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,opt,bws,Tot,4.955584062,224,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,bau,bws,Dom,4.92308306,206,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,bau,bws,Ind,4.960985837,202,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,bau,bws,Irr,4.959838774,196,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,bau,bws,Liv,4.915851337,190,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,bau,bws,Tot,4.95890899,193,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,pes,bws,Dom,4.944047318,199,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,pes,bws,Ind,4.963422758,207,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,pes,bws,Irr,4.985866574,181,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,pes,bws,Liv,4.929228991,190,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,pes,bws,Tot,4.984728246,176,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,opt,bws,Dom,4.929820654,243,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,opt,bws,Ind,4.965216885,244,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,opt,bws,Irr,4.941539421,243,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,opt,bws,Liv,4.90545269,225,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,opt,bws,Tot,4.940988519,236,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,bau,bws,Dom,4.946275857,255,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,bau,bws,Ind,4.967177369,268,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,bau,bws,Irr,4.976296262,242,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,bau,bws,Liv,4.931821322,244,4,Extremely High (>80%),Asia,South Asia
